timestamp,pos_type,split,length,b,seed,iter,val_loss,val_acc
2026-07-18T15:05:17,t5,half,6,1,1337,0,2.050280,0.000000
2026-07-18T15:05:17,t5,half,6,1,1337,100,0.343826,1.000000
2026-07-18T15:05:17,t5,half,6,1,1337,200,0.018640,1.000000
2026-07-18T15:05:17,t5,half,6,1,1337,300,0.006622,1.000000
2026-07-18T15:05:17,t5,half,6,1,1337,400,0.003144,1.000000
2026-07-18T15:05:17,t5,half,6,1,1337,500,0.711649,0.500000
2026-07-18T15:05:17,t5,half,6,1,1337,600,0.004955,1.000000
2026-07-18T15:05:17,t5,half,6,1,1337,700,0.001565,1.000000
2026-07-18T15:05:17,t5,half,6,1,1337,800,0.001057,1.000000
2026-07-18T15:05:17,t5,half,6,1,1337,900,0.000710,1.000000
2026-07-18T15:05:17,t5,half,6,1,1337,1000,0.000471,1.000000
2026-07-18T15:05:17,t5,half,6,1,1337,1100,0.000311,1.000000
2026-07-18T15:05:17,t5,half,6,1,1337,1200,0.000208,1.000000
2026-07-18T15:05:17,t5,half,6,1,1337,1300,0.000141,1.000000
2026-07-18T15:05:17,t5,half,6,1,1337,1400,0.000098,1.000000
2026-07-18T15:05:17,t5,half,6,1,1337,1500,0.000069,1.000000
2026-07-18T15:05:17,t5,half,6,1,1337,1600,0.000051,1.000000
2026-07-18T15:05:17,t5,half,6,1,1337,1700,0.000038,1.000000
2026-07-18T15:05:17,t5,half,6,1,1337,1800,0.000029,1.000000
2026-07-18T15:05:17,t5,half,6,1,1337,1900,0.000022,1.000000
2026-07-18T15:05:17,t5,half,6,1,1337,2000,0.000017,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,0,2.046474,0.000000
2026-07-18T15:06:03,t5,half,6,1,1338,100,0.358232,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,200,0.017109,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,300,0.006096,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,400,0.002883,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,500,0.001528,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,600,0.735421,0.500000
2026-07-18T15:06:03,t5,half,6,1,1338,700,0.002734,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,800,0.001030,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,900,0.000735,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,1000,0.000525,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,1100,0.000369,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,1200,0.000256,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,1300,0.000178,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,1400,0.000125,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,1500,0.000090,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,1600,0.000066,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,1700,0.000049,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,1800,0.000037,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,1900,0.000029,1.000000
2026-07-18T15:06:03,t5,half,6,1,1338,2000,0.000022,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,0,1.930534,0.000000
2026-07-18T15:06:21,t5,half,6,1,1339,100,0.398762,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,200,0.016388,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,300,0.005902,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,400,0.002795,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,500,0.001487,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,600,0.000842,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,700,0.000495,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,800,0.000299,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,900,0.000185,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,1000,0.689375,0.500000
2026-07-18T15:06:21,t5,half,6,1,1339,1100,0.000371,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,1200,0.000270,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,1300,0.000220,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,1400,0.000189,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,1500,0.000166,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,1600,0.000146,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,1700,0.000126,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,1800,0.000107,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,1900,0.000090,1.000000
2026-07-18T15:06:21,t5,half,6,1,1339,2000,0.000073,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,0,2.025461,0.000000
2026-07-18T15:06:39,t5,half,6,1,1340,100,0.432577,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,200,0.018189,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,300,0.006885,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,400,0.003163,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,500,0.001687,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,600,0.000957,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,700,0.000564,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,800,0.000342,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,900,0.000212,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,1000,0.000134,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,1100,0.000086,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,1200,0.000057,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,1300,0.000038,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,1400,0.000026,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,1500,0.000018,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,1600,0.000013,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,1700,0.000010,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,1800,0.000007,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,1900,0.000005,1.000000
2026-07-18T15:06:39,t5,half,6,1,1340,2000,0.000004,1.000000
2026-07-18T16:45:58,t5,half,8,1,1337,0,2.054264,0.000000
2026-07-18T16:45:58,t5,half,8,1,1337,100,0.464406,1.000000
