timestamp,pos_type,split,length,b,seed,iter,val_loss,val_acc
2026-07-19T23:11:37,t5,half,6,1,1337,0,2.027945,0.000000
2026-07-19T23:11:37,t5,half,6,1,1337,100,0.378969,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,200,0.018203,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,300,0.006476,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,400,0.003075,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,500,0.001627,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,600,0.000918,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,700,0.000538,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,800,0.000324,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,900,0.000200,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,1000,0.000126,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,1100,0.000376,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,1200,0.000194,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,1300,0.000164,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,1400,0.000150,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,1500,0.000136,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,1600,0.000121,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,1700,0.000106,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,1800,0.000091,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,1900,0.000077,1.000000
2026-07-19T23:11:37,t5,half,6,1,1337,2000,0.000063,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,0,1.755698,0.000000
2026-07-19T23:11:54,t5,half,6,1,1338,100,0.288880,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,200,0.016506,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,300,0.005556,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,400,0.002584,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,500,0.001353,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,600,0.000756,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,700,0.000440,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,800,0.000264,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,900,0.000162,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,1000,0.000101,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,1100,0.000065,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,1200,0.000042,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,1300,0.000028,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,1400,0.000019,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,1500,0.000014,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,1600,0.000016,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,1700,0.000010,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,1800,0.000008,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,1900,0.000007,1.000000
2026-07-19T23:11:54,t5,half,6,1,1338,2000,0.000006,1.000000
2026-07-19T23:12:13,t5,half,6,1,1339,0,1.886722,0.000000
2026-07-19T23:12:13,t5,half,6,1,1339,100,0.298205,1.000000
2026-07-19T23:12:13,t5,half,6,1,1339,200,0.015788,1.000000
2026-07-19T23:12:13,t5,half,6,1,1339,300,0.005722,1.000000
2026-07-19T23:12:13,t5,half,6,1,1339,400,0.002729,1.000000
2026-07-19T23:12:13,t5,half,6,1,1339,500,0.750981,0.500000
